Hauptbereiche,Leistungsbereiche,Kürzel,Leistungsgruppen,"Insel, Insel Gruppe AG","Tiefenau, Insel Gruppe AG","Münsingen, Insel Gruppe AG","Aarberg, Insel Gruppe AG","Riggisberg, Insel Gruppe AG","Beau-Site, Hirslanden Bern AG","Permanence, Hirslanden Bern AG","Salem, Hirslanden Bern AG","Lindenhof, Lindenhof AG","Sonnenhof, Lindenhof AG","Engeried, Lindenhof AG","Gümligen, Siloah AG","Gümligen, Swiss Medical Network Hospitals SA","Bern, Stiftung Diaconis","Oster- mundigen, GH
Luna AG","Interlaken, Spitäler fmi AG","Frutigen, Spitäler fmi AG","Thun, STS AG","Zweisimmen, STS AG","Thun, Klinik Hohmad AG","Zweisimmen, GH Materinité Alpine","Burgdorf, RSE AG","Langnau, RSE AG","Langenthal, SRO AG","Biel, SZB AG","Biel, Hirslanden Klinik Linde AG Biel","Tschugg, Bethesda","St-Imier, Hôpital du Jura bernois SA","Moutier, Hôpital de Moutier SA","Delémont, Hôpital du Jura SA","Bürger- spital Solothurn, SoH AG","Fond. ""La Chrysalide"", Hôpital neuchâtelois","Pourtalès, Hôpital neuchâtelois","La-Chaux-de- Fonds, Hôpital neuchâtelois"
Bewegungs- apparat,Bewegungsapparat chirurgisch,BEW9,Knochentumore,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bewegungs- apparat,Bewegungsapparat chirurgisch,BEW10,Plexuschirurgie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bewegungs- apparat,Bewegungsapparat chirurgisch,BEW11,Replantationen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bewegungs- apparat,Rheumatologie,RHE1,Rheumatologie,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
Bewegungs- apparat,Rheumatologie,RHE2,Interdisziplinäre Rheumatologie,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gynäkologie & Geburtshilfe,Gynäkologie,GYN1,Gynäkologie,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0
Gynäkologie & Geburtshilfe,Gynäkologie,GYNT,Gynäkologische Tumoren,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gynäkologie & Geburtshilfe,Gynäkologie,GYN2,Maligne Neoplasien der Mamma,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0
Gynäkologie & Geburtshilfe,Gynäkologie,PLC1,Eingriffe im Zusammenhang mit Transsexualität,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gynäkologie & Geburtshilfe,Geburtshilfe,GEBH,Geburtshäuser (ab 37. SSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gynäkologie & Geburtshilfe,Geburtshilfe,GEB1,Grundversorgung Geburtshilfe (ab 35 0/7 SSW und >= 2000g),1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0
Gynäkologie & Geburtshilfe,Geburtshilfe,GEB1.1,Geburtshilfe (ab 32 0/7 SSW und >= 1250g),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Gynäkologie & Geburtshilfe,Geburtshilfe,GEB1.1.1,Spezialisierte Geburtshilfe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gynäkologie & Geburtshilfe,Neugeborene,NEOG,"Grundversorgung Neugeborene Geburtshaus (ab 37.
SSW und GG 2000g)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gynäkologie & Geburtshilfe,Neugeborene,NEO1,"Grundversorgung Neugeborene (ab 35 0/7 SSW und
GG >= 2000g)",1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0
Gynäkologie & Geburtshilfe,Neugeborene,NEO1.1,Neonatologie (ab GA 32 0/7 SSW und GG 1250g),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Gynäkologie & Geburtshilfe,Neugeborene,NEO1.1.1,"Spezialisierte Neonatologie (ab GA 28 0/7 SSW und
GG 1000g)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gynäkologie & Geburtshilfe,Neugeborene,NEO1.1.1.1,"Hochspezialisierte Neonatologie (GA < 28 0/7 SSW
und GG < 1000g)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Übrige,(Radio-) Onkologie,ONK1,Onkologie,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Übrige,0,RAO1,Radio-Onkologie,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Übrige,0,NUK1,Nuklearmedizin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Übrige,Schwere Verletzungen,UNF1,Unfallchirurgie (Polytrauma) (IVHSM),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Übrige,Schwere Verletzungen,UNF1.1,"Spezialisierte Unfallchirurgie (Schädel-Hirn-Trauma)
(IVHSM)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Übrige,Schwere Verletzungen,UNF2,"Ausgedehnte Verbrennungen (IVHSM), Behandlung von schweren Verbrennungen bei Kindern (IVHSM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Querschnitts-bereiche,Querschnitts-bereiche,KINM,Kindermedizin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Querschnitts-bereiche,Querschnitts-bereiche,KINC,Kinderchirurgie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Querschnitts-bereiche,Querschnitts-bereiche,KINB,Basis-Kinderchirurgie,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0
Querschnitts-bereiche,Querschnitts-bereiche,GER,Akutgeriatrie Kompetenzzentrum,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1
Querschnitts-bereiche,Querschnitts-bereiche,SpezPalCare,Spezialisierte Pallitaive Care im Spital,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
Querschnitts-bereiche,Querschnitts-bereiche,AVA,Akutsomatische Versorgung Abhängigkeitskranker,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0
